sample_id,population,super_population
ind_59,Finnish in Finland,EUR
ind_522,Iberian populations in Spain,EUR
ind_1689,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_180,Finnish in Finland,EUR
ind_552,Iberian populations in Spain,EUR
ind_93,British in England and Scotland,EUR
ind_155,Finnish in Finland,EUR
ind_1720,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_74,British in England and Scotland,EUR
ind_611,Iberian populations in Spain,EUR
ind_170,Finnish in Finland,EUR
ind_1695,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_1745,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_154,Finnish in Finland,EUR
ind_846,Iberian populations in Spain,EUR
ind_579,Iberian populations in Spain,EUR
ind_1662,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_581,Iberian populations in Spain,EUR
ind_92,British in England and Scotland,EUR
ind_505,Iberian populations in Spain,EUR
ind_132,Finnish in Finland,EUR
ind_2316,Toscani in Italy,EUR
ind_37,British in England and Scotland,EUR
ind_68,Finnish in Finland,EUR
ind_1713,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_7,British in England and Scotland,EUR
ind_94,British in England and Scotland,EUR
ind_2366,Toscani in Italy,EUR
ind_614,British in England and Scotland,EUR
ind_2380,Toscani in Italy,EUR
ind_571,Iberian populations in Spain,EUR
ind_2308,Toscani in Italy,EUR
ind_41,British in England and Scotland,EUR
ind_546,Iberian populations in Spain,EUR
ind_559,Iberian populations in Spain,EUR
ind_2295,Toscani in Italy,EUR
ind_21,British in England and Scotland,EUR
ind_2320,Toscani in Italy,EUR
ind_1733,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_45,British in England and Scotland,EUR
ind_88,British in England and Scotland,EUR
ind_153,Finnish in Finland,EUR
ind_72,British in England and Scotland,EUR
ind_591,Iberian populations in Spain,EUR
ind_182,Finnish in Finland,EUR
ind_89,British in England and Scotland,EUR
ind_2388,Toscani in Italy,EUR
ind_53,British in England and Scotland,EUR
ind_1672,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_2344,Toscani in Italy,EUR
ind_175,Finnish in Finland,EUR
ind_1730,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_2326,Toscani in Italy,EUR
ind_2340,Toscani in Italy,EUR
ind_2333,Toscani in Italy,EUR
ind_179,Finnish in Finland,EUR
ind_50,British in England and Scotland,EUR
ind_1701,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_547,Iberian populations in Spain,EUR
ind_156,Finnish in Finland,EUR
ind_2299,Toscani in Italy,EUR
ind_587,Iberian populations in Spain,EUR
ind_561,Iberian populations in Spain,EUR
ind_131,Finnish in Finland,EUR
ind_120,Finnish in Finland,EUR
ind_4,British in England and Scotland,EUR
ind_2306,Toscani in Italy,EUR
ind_2363,Toscani in Italy,EUR
ind_2335,Toscani in Italy,EUR
ind_2309,Toscani in Italy,EUR
