sample_id,population,super_population
ind_823,"Chinese Dai in Xishuangbanna, China",EAS
ind_811,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_845,Iberian populations in Spain,EUR
ind_1655,Indian Telugu in the UK,SAS
ind_257,Han Chinese South,EAS
ind_1918,"Japanese in Tokyo, Japan",EAS
ind_769,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_610,Iberian populations in Spain,EUR
ind_162,Finnish in Finland,EUR
ind_1748,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_358,Puerto Rican in Puerto Rico,AMR
ind_828,"Chinese Dai in Xishuangbanna, China",EAS
ind_766,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_2002,"Japanese in Tokyo, Japan",EAS
ind_1834,"Han Chinese in Beijing, China",EAS
ind_1620,Bengali in Bangladesh,SAS
ind_1166,Mende in Sierra Leone,AFR
ind_189,Han Chinese South,EAS
ind_686,African Caribbean in Barbados,AFR
ind_109,Finnish in Finland,EUR
ind_1933,"Japanese in Tokyo, Japan",EAS
ind_200,Han Chinese South,EAS
ind_781,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1591,Indian Telugu in the UK,SAS
ind_923,"Chinese Dai in Xishuangbanna, China",EAS
ind_538,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_149,Finnish in Finland,EUR
ind_374,"Colombian in Medellin, Colombia",AMR
ind_1828,"Han Chinese in Beijing, China",EAS
ind_778,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_87,British in England and Scotland,EUR
ind_1874,"Han Chinese in Beijing, China",EAS
ind_247,Han Chinese South,EAS
ind_1905,"Yoruba in Ibadan, Nigeria",AFR
ind_1036,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_2412,"Gujarati Indians in Houston, TX",SAS
ind_820,"Chinese Dai in Xishuangbanna, China",EAS
ind_851,"Chinese Dai in Xishuangbanna, China",EAS
ind_621,"Chinese Dai in Xishuangbanna, China",EAS
ind_2381,Toscani in Italy,EUR
ind_755,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_249,Han Chinese South,EAS
ind_1398,"Punjabi in Lahore, Pakistan",SAS
ind_229,Puerto Rican in Puerto Rico,AMR
ind_1579,Indian Telugu in the UK,SAS
ind_284,Han Chinese South,EAS
ind_2283,African Ancestry in Southwest US,AFR
ind_866,"Peruvian in Lima, Peru",AMR
ind_2473,"Gujarati Indians in Houston, TX",SAS
ind_939,African Caribbean in Barbados,AFR
ind_2501,"Gujarati Indians in Houston, TX",SAS
ind_1952,"Japanese in Tokyo, Japan",EAS
ind_837,British in England and Scotland,EUR
ind_2062,"Yoruba in Ibadan, Nigeria",AFR
ind_2428,"Gujarati Indians in Houston, TX",SAS
ind_829,"Chinese Dai in Xishuangbanna, China",EAS
ind_51,British in England and Scotland,EUR
ind_1438,Indian Telugu in the UK,SAS
ind_2339,Toscani in Italy,EUR
ind_831,"Chinese Dai in Xishuangbanna, China",EAS
ind_803,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_313,"Chinese Dai in Xishuangbanna, China",EAS
ind_920,"Chinese Dai in Xishuangbanna, China",EAS
ind_1960,"Japanese in Tokyo, Japan",EAS
ind_1849,"Han Chinese in Beijing, China",EAS
ind_230,Han Chinese South,EAS
ind_651,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1810,"Han Chinese in Beijing, China",EAS
ind_1054,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1065,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_318,"Chinese Dai in Xishuangbanna, China",EAS
ind_630,"Chinese Dai in Xishuangbanna, China",EAS
ind_631,"Chinese Dai in Xishuangbanna, China",EAS
ind_270,Han Chinese South,EAS
ind_2027,"Japanese in Tokyo, Japan",EAS
ind_205,Han Chinese South,EAS
ind_418,"Colombian in Medellin, Colombia",AMR
ind_1913,"Japanese in Tokyo, Japan",EAS
ind_745,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1195,Esan in Nigeria,AFR
ind_210,Han Chinese South,EAS
ind_1048,"Punjabi in Lahore, Pakistan",SAS
ind_2019,"Japanese in Tokyo, Japan",EAS
ind_1854,"Han Chinese in Beijing, China",EAS
ind_709,"Peruvian in Lima, Peru",AMR
ind_1028,"Punjabi in Lahore, Pakistan",SAS
ind_1804,"Han Chinese in Beijing, China",EAS
ind_632,"Chinese Dai in Xishuangbanna, China",EAS
ind_334,Puerto Rican in Puerto Rico,AMR
ind_1801,"Han Chinese in Beijing, China",EAS
ind_797,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1821,"Han Chinese in Beijing, China",EAS
ind_187,Han Chinese South,EAS
ind_167,Finnish in Finland,EUR
ind_634,"Chinese Dai in Xishuangbanna, China",EAS
ind_394,Puerto Rican in Puerto Rico,AMR
ind_774,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_214,Han Chinese South,EAS
ind_1922,"Japanese in Tokyo, Japan",EAS
ind_1949,"Japanese in Tokyo, Japan",EAS
ind_1906,"Japanese in Tokyo, Japan",EAS
ind_543,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_746,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_242,Han Chinese South,EAS
ind_1003,"Punjabi in Lahore, Pakistan",SAS
ind_2136,"Luhya in Webuye, Kenya",AFR
ind_988,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1575,Indian Telugu in the UK,SAS
ind_1862,"Han Chinese in Beijing, China",EAS
ind_269,Han Chinese South,EAS
ind_656,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_2331,Toscani in Italy,EUR
ind_1784,"Han Chinese in Beijing, China",EAS
ind_1586,Sri Lankan Tamil in the UK,SAS
ind_1724,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_1957,"Japanese in Tokyo, Japan",EAS
ind_635,"Chinese Dai in Xishuangbanna, China",EAS
ind_1812,"Han Chinese in Beijing, China",EAS
ind_870,African Caribbean in Barbados,AFR
ind_1392,Sri Lankan Tamil in the UK,SAS
ind_1893,"Yoruba in Ibadan, Nigeria",AFR
ind_657,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_2391,Toscani in Italy,EUR
ind_1207,Esan in Nigeria,AFR
ind_1727,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_2114,"Luhya in Webuye, Kenya",AFR
ind_1798,"Han Chinese in Beijing, China",EAS
ind_902,"Chinese Dai in Xishuangbanna, China",EAS
ind_2370,Toscani in Italy,EUR
ind_658,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_254,Han Chinese South,EAS
ind_754,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_111,Finnish in Finland,EUR
ind_1044,"Punjabi in Lahore, Pakistan",SAS
ind_1554,Indian Telugu in the UK,SAS
ind_662,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_295,Han Chinese South,EAS
ind_2314,Toscani in Italy,EUR
ind_617,"Chinese Dai in Xishuangbanna, China",EAS
ind_1809,"Han Chinese in Beijing, China",EAS
ind_1959,"Japanese in Tokyo, Japan",EAS
ind_1180,Mende in Sierra Leone,AFR
ind_288,Han Chinese South,EAS
ind_2145,"Luhya in Webuye, Kenya",AFR
ind_1974,"Japanese in Tokyo, Japan",EAS
ind_1858,"Han Chinese in Beijing, China",EAS
ind_384,Puerto Rican in Puerto Rico,AMR
ind_753,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_279,Han Chinese South,EAS
ind_296,Han Chinese South,EAS
ind_312,"Chinese Dai in Xishuangbanna, China",EAS
ind_1052,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_913,"Chinese Dai in Xishuangbanna, China",EAS
ind_1805,"Han Chinese in Beijing, China",EAS
ind_1840,"Han Chinese in Beijing, China",EAS
ind_291,Han Chinese South,EAS
ind_1966,"Japanese in Tokyo, Japan",EAS
ind_281,Han Chinese South,EAS
ind_667,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1965,"Japanese in Tokyo, Japan",EAS
ind_1852,"Han Chinese in Beijing, China",EAS
ind_1610,Bengali in Bangladesh,SAS
ind_927,"Chinese Dai in Xishuangbanna, China",EAS
ind_2026,"Japanese in Tokyo, Japan",EAS
ind_883,African Caribbean in Barbados,AFR
ind_1863,"Han Chinese in Beijing, China",EAS
ind_308,"Chinese Dai in Xishuangbanna, China",EAS
ind_216,Han Chinese South,EAS
ind_1996,"Japanese in Tokyo, Japan",EAS
ind_834,"Chinese Dai in Xishuangbanna, China",EAS
ind_1296,Mende in Sierra Leone,AFR
ind_2038,"Yoruba in Ibadan, Nigeria",AFR
ind_780,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1640,Indian Telugu in the UK,SAS
ind_2021,"Japanese in Tokyo, Japan",EAS
ind_286,Han Chinese South,EAS
ind_62,Finnish in Finland,EUR
ind_752,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_830,"Chinese Dai in Xishuangbanna, China",EAS
ind_292,Han Chinese South,EAS
ind_1826,"Han Chinese in Beijing, China",EAS
ind_896,"Peruvian in Lima, Peru",AMR
ind_1907,"Japanese in Tokyo, Japan",EAS
ind_273,Han Chinese South,EAS
ind_259,Han Chinese South,EAS
ind_1797,"Han Chinese in Beijing, China",EAS
ind_1786,"Han Chinese in Beijing, China",EAS
ind_2014,"Japanese in Tokyo, Japan",EAS
ind_316,"Chinese Dai in Xishuangbanna, China",EAS
ind_1954,"Japanese in Tokyo, Japan",EAS
ind_194,Han Chinese South,EAS
ind_1661,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_1176,Mende in Sierra Leone,AFR
ind_306,"Chinese Dai in Xishuangbanna, China",EAS
ind_197,Han Chinese South,EAS
ind_1822,"Han Chinese in Beijing, China",EAS
ind_207,Han Chinese South,EAS
ind_1324,Esan in Nigeria,AFR
ind_1634,Bengali in Bangladesh,SAS
ind_1050,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_1799,"Han Chinese in Beijing, China",EAS
ind_2206,"Mexican Ancestry in Los Angeles, California",AMR
ind_898,"Chinese Dai in Xishuangbanna, China",EAS
ind_843,Iberian populations in Spain,EUR
ind_860,"Peruvian in Lima, Peru",AMR
ind_2387,Toscani in Italy,EUR
ind_1841,"Han Chinese in Beijing, China",EAS
ind_807,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1931,"Japanese in Tokyo, Japan",EAS
ind_2425,"Gujarati Indians in Houston, TX",SAS
ind_929,"Chinese Dai in Xishuangbanna, China",EAS
ind_661,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1083,"Punjabi in Lahore, Pakistan",SAS
ind_1999,"Japanese in Tokyo, Japan",EAS
ind_653,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_2012,"Japanese in Tokyo, Japan",EAS
ind_1857,"Han Chinese in Beijing, China",EAS
ind_1911,"Japanese in Tokyo, Japan",EAS
ind_1780,"Han Chinese in Beijing, China",EAS
ind_1956,"Japanese in Tokyo, Japan",EAS
ind_541,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1792,"Han Chinese in Beijing, China",EAS
ind_199,Han Chinese South,EAS
ind_271,Han Chinese South,EAS
ind_234,Han Chinese South,EAS
ind_2436,"Gujarati Indians in Houston, TX",SAS
ind_899,"Chinese Dai in Xishuangbanna, China",EAS
ind_1443,Indian Telugu in the UK,SAS
ind_320,"Chinese Dai in Xishuangbanna, China",EAS
ind_648,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1551,Indian Telugu in the UK,SAS
ind_917,"Chinese Dai in Xishuangbanna, China",EAS
ind_1705,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_2007,"Japanese in Tokyo, Japan",EAS
ind_315,"Chinese Dai in Xishuangbanna, China",EAS
ind_926,"Chinese Dai in Xishuangbanna, China",EAS
ind_2015,"Japanese in Tokyo, Japan",EAS
ind_2382,Toscani in Italy,EUR
ind_1848,"Han Chinese in Beijing, China",EAS
ind_293,Han Chinese South,EAS
ind_1413,Indian Telugu in the UK,SAS
ind_80,British in England and Scotland,EUR
ind_1436,"Punjabi in Lahore, Pakistan",SAS
ind_641,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_805,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_748,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1820,"Han Chinese in Beijing, China",EAS
ind_1873,"Han Chinese in Beijing, China",EAS
ind_1856,"Han Chinese in Beijing, China",EAS
ind_642,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_202,Han Chinese South,EAS
ind_1869,"Han Chinese in Beijing, China",EAS
ind_1328,Esan in Nigeria,AFR
ind_1715,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_770,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_660,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_185,Han Chinese South,EAS
ind_1919,"Japanese in Tokyo, Japan",EAS
ind_2396,Toscani in Italy,EUR
ind_2140,"Luhya in Webuye, Kenya",AFR
ind_731,African Caribbean in Barbados,AFR
ind_224,Han Chinese South,EAS
ind_448,"Colombian in Medellin, Colombia",AMR
ind_775,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_27,British in England and Scotland,EUR
ind_1560,Sri Lankan Tamil in the UK,SAS
ind_1808,"Han Chinese in Beijing, China",EAS
ind_235,Han Chinese South,EAS
ind_1552,Indian Telugu in the UK,SAS
ind_387,Puerto Rican in Puerto Rico,AMR
ind_250,Han Chinese South,EAS
ind_1889,"Yoruba in Ibadan, Nigeria",AFR
ind_2018,"Japanese in Tokyo, Japan",EAS
ind_2414,"Gujarati Indians in Houston, TX",SAS
ind_798,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_971,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1941,"Japanese in Tokyo, Japan",EAS
ind_256,Han Chinese South,EAS
ind_225,Han Chinese South,EAS
ind_1225,Esan in Nigeria,AFR
ind_664,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_585,Iberian populations in Spain,EUR
ind_620,"Chinese Dai in Xishuangbanna, China",EAS
ind_972,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_796,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_671,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1829,"Han Chinese in Beijing, China",EAS
ind_2362,Toscani in Italy,EUR
ind_2272,African Ancestry in Southwest US,AFR
ind_537,"Punjabi in Lahore, Pakistan",SAS
ind_1796,"Han Chinese in Beijing, China",EAS
ind_717,"Peruvian in Lima, Peru",AMR
ind_783,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1961,"Japanese in Tokyo, Japan",EAS
ind_2150,"Luhya in Webuye, Kenya",AFR
ind_1671,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_918,"Chinese Dai in Xishuangbanna, China",EAS
ind_1718,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_1908,"Japanese in Tokyo, Japan",EAS
ind_665,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1944,"Japanese in Tokyo, Japan",EAS
ind_251,Han Chinese South,EAS
ind_287,Han Chinese South,EAS
ind_246,Han Chinese South,EAS
ind_1892,"Yoruba in Ibadan, Nigeria",AFR
ind_226,Han Chinese South,EAS
ind_231,Han Chinese South,EAS
ind_2004,"Japanese in Tokyo, Japan",EAS
ind_2059,"Yoruba in Ibadan, Nigeria",AFR
ind_274,Han Chinese South,EAS
ind_233,Han Chinese South,EAS
ind_644,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1783,"Han Chinese in Beijing, China",EAS
ind_1013,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_317,"Chinese Dai in Xishuangbanna, China",EAS
ind_772,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_388,Puerto Rican in Puerto Rico,AMR
ind_1850,"Han Chinese in Beijing, China",EAS
ind_1917,"Japanese in Tokyo, Japan",EAS
ind_2178,"Mexican Ancestry in Los Angeles, California",AMR
ind_192,Han Chinese South,EAS
ind_1428,Sri Lankan Tamil in the UK,SAS
ind_452,"Colombian in Medellin, Colombia",AMR
ind_577,Iberian populations in Spain,EUR
ind_263,Han Chinese South,EAS
ind_280,Han Chinese South,EAS
ind_1376,"Punjabi in Lahore, Pakistan",SAS
ind_1802,"Han Chinese in Beijing, China",EAS
ind_1910,"Japanese in Tokyo, Japan",EAS
ind_1940,"Japanese in Tokyo, Japan",EAS
ind_759,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_434,"Colombian in Medellin, Colombia",AMR
ind_1499,Indian Telugu in the UK,SAS
ind_645,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1994,"Japanese in Tokyo, Japan",EAS
ind_1669,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_1945,"Japanese in Tokyo, Japan",EAS
ind_1813,"Han Chinese in Beijing, China",EAS
ind_294,Han Chinese South,EAS
ind_808,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_672,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1782,"Han Chinese in Beijing, China",EAS
ind_2003,"Japanese in Tokyo, Japan",EAS
ind_2009,"Japanese in Tokyo, Japan",EAS
ind_276,Han Chinese South,EAS
ind_2010,"Japanese in Tokyo, Japan",EAS
ind_1824,"Han Chinese in Beijing, China",EAS
ind_1861,"Han Chinese in Beijing, China",EAS
ind_1864,"Han Chinese in Beijing, China",EAS
ind_1816,"Han Chinese in Beijing, China",EAS
ind_983,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_217,Han Chinese South,EAS
ind_784,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1429,Sri Lankan Tamil in the UK,SAS
ind_1684,Utah residents (CEPH) with Northern and Western European ancestry,EUR
ind_1842,"Han Chinese in Beijing, China",EAS
ind_1912,"Japanese in Tokyo, Japan",EAS
ind_1776,"Han Chinese in Beijing, China",EAS
ind_666,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1794,"Han Chinese in Beijing, China",EAS
ind_647,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_2485,"Gujarati Indians in Houston, TX",SAS
ind_849,Iberian populations in Spain,EUR
ind_1923,"Japanese in Tokyo, Japan",EAS
ind_1867,"Han Chinese in Beijing, China",EAS
ind_1844,"Han Chinese in Beijing, China",EAS
ind_582,Iberian populations in Spain,EUR
ind_1962,"Japanese in Tokyo, Japan",EAS
ind_1846,"Han Chinese in Beijing, China",EAS
ind_633,"Chinese Dai in Xishuangbanna, China",EAS
ind_580,Iberian populations in Spain,EUR
ind_198,Han Chinese South,EAS
ind_639,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_1231,Esan in Nigeria,AFR
ind_1950,"Japanese in Tokyo, Japan",EAS
ind_2401,"Gujarati Indians in Houston, TX",SAS
ind_243,Han Chinese South,EAS
ind_903,"Chinese Dai in Xishuangbanna, China",EAS
ind_209,Han Chinese South,EAS
ind_801,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_887,African Caribbean in Barbados,AFR
ind_785,"Kinh in Ho Chi Minh City, Vietnam",EAS
ind_195,Han Chinese South,EAS
ind_2472,"Gujarati Indians in Houston, TX",SAS
ind_1860,"Han Chinese in Beijing, China",EAS
ind_222,Han Chinese South,EAS
ind_906,"Chinese Dai in Xishuangbanna, China",EAS
ind_14,British in England and Scotland,EUR
ind_1963,"Japanese in Tokyo, Japan",EAS
ind_1845,"Han Chinese in Beijing, China",EAS
ind_1837,"Han Chinese in Beijing, China",EAS
ind_2281,African Ancestry in Southwest US,AFR
ind_206,Han Chinese South,EAS
ind_822,"Chinese Dai in Xishuangbanna, China",EAS
ind_1779,"Han Chinese in Beijing, China",EAS
ind_1035,"Gambian in Western Division, The Gambia - Mandinka",AFR
ind_208,Han Chinese South,EAS
ind_1362,"Punjabi in Lahore, Pakistan",SAS
ind_204,Han Chinese South,EAS
ind_354,Puerto Rican in Puerto Rico,AMR
ind_1870,"Han Chinese in Beijing, China",EAS
